Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
469,260.2222440082417,-13578.193435038653
470,259.4984611661648,-13615.090699807783
471,258.78169939560405,-13651.987964576909
472,258.0762385167131,-13688.885229346035
473,257.37413426061215,-13725.782494115161
474,256.6791022082451,-13762.67975888429
475,255.98303094395845,-13799.577023653415
476,255.29339869213152,-13836.474288422542
477,254.61394442050175,-13873.371553191668
478,253.94575206769832,-13910.268817960798
479,253.2897077079324,-13947.166082729922
480,252.63668835261907,-13984.063347499048
481,251.98691858762484,-14020.960612268174
482,251.3381744974121,-14057.857877037304
483,250.6915557281914,-14094.75514180643
484,250.04657850759835,-14131.652406575557
485,249.4056163431663,-14168.549671344683
486,248.76780331342076,-14205.44693611381
487,248.13693227242516,-14242.344200882937
488,247.5107355431898,-14279.241465652063
489,246.88354370217326,-14316.13873042119
490,246.26331175459143,-14353.035995190316
491,245.66454772628595,-14389.933259959445
492,245.0774041150332,-14426.83052472857
493,244.4972307921455,-14463.727789497696
494,243.92474524074538,-14500.625054266822
495,243.3583581773281,-14537.522319035952
496,242.79126810849056,-14574.419583805078
497,242.23352871439036,-14611.316848574204
498,241.68900284808603,-14648.21411334333
499,241.15070327820632,-14685.111378112459
500,240.6132391033285,-14722.008642881585
501,240.08329853373402,-14758.905907650711
502,239.54948630351288,-14795.803172419837
503,239.01422551676995,-14832.700437188967
504,238.4910669602968,-14869.597701958091
505,237.96963557859505,-14906.494966727218
506,237.4493825480252,-14943.392231496344
507,236.93235450660285,-14980.289496265474
508,236.41819217931834,-15017.1867610346
509,235.9119809315444,-15054.084025803726
510,235.40785079530224,-15090.981290572852
511,234.90354049656503,-15127.87855534198
512,234.39999577585266,-15164.775820111106
513,233.90156905275884,-15201.673084880233
514,233.40498960676004,-15238.570349649359
515,232.90620893763386,-15275.467614418485
516,232.41823783697498,-15312.364879187615
517,231.92885777590368,-15349.26214395674
518,231.43956023358265,-15386.159408725865
519,230.9559786226013,-15423.056673494992
520,230.47115887482335,-15459.953938264121
521,229.98966055396528,-15496.851203033248
522,229.5183914969231,-15533.748467802374
523,229.05051679722845,-15570.6457325715
524,228.5832780270398,-15607.542997340628
525,228.12240577279658,-15644.440262109754
526,227.6635316547388,-15681.33752687888
527,227.20622367737835,-15718.234791648007
528,226.75186765704296,-15755.132056417136
529,226.2919136011997,-15792.02932118626
530,225.83888238582054,-15828.926585955387
